Negara,Tahun,latitude,longitude,Safely managed-National,Disposed in situ-National,Emptied and treated-National,Wastewater treated-National,Latrines and other-National,Septic tanks-National,Sewer connections-National,Safely managed-Rural,Disposed in situ-Rural,Emptied and treated-Rural,Wastewater treated-Rural,Latrines and other-Rural,Septic tanks-Rural,Sewer connections-Rural,Safely managed-Urban,Disposed in situ-Urban,Emptied and treated-Urban,Wastewater treated-Urban,Latrines and other-Urban,Septic tanks-Urban,Sewer connections-Urban
Kyrgyzstan,2020,41,75,92,78,0.5,15,84,0.5,16,96,96,0.5,0.5,100,0.5,0.5,86,46,0.5,39,57,1,42
Latvia,2020,57,25,83,0.5,0.5,83,0.5,9,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,2020,34,36,16,4,0.5,11,9,13,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,2020,-30,28,48,47,0.5,0.5,69,1,1,51,51,0.5,0.5,62,0.5,0.5,39,39,0.5,0.5,87,3,4
Liberia,2020,6,-9,0,0,0,0,23,24,0.5,0,0,0,0,22,3,0.5,0,0,0,0,24,43,0.5
Libya,2020,26,17,22,10,2,10,22,8,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,2020,47,10,99,0.5,0.5,99,0.5,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,2020,55,24,94,1,1,91,3,0,93,86,4,4,78,8,0,81,98,0.5,0.5,98,0.5,0,100
Luxembourg,2020,50,6,97,0.5,0.5,96,0.5,2,98,89,5,5,80,0.5,19,81,97,0.5,0.5,97,0.5,0.5,100
Madagascar,2020,-19,47,10,10,0.5,0.5,25,6,1,8,8,0.5,0.5,20,1,0.5,14,14,0.5,0.5,33,14,2
Malawi,2020,-13,34,24,24,0.5,0.5,36,3,2,24,23,0.5,0.5,35,0.5,0.5,27,25,0.5,2,39,14,7
Malaysia,2020,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives,2020,3,73,0,0,0,0,1,33,66,0,0,0,0,2,55,42,0,0,0,0,0.5,0.5,100
Mali,2020,18,-4,20,20,0.5,0.5,58,4,1,28,28,0.5,0.5,44,0.5,0.5,10,9,0.5,0.5,75,8,3
Malta,2020,36,14,92,0.5,0.5,92,0.5,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,2020,7,17,0,0,0,0,0.5,51,38,0,0,0,0,3,59,3,0,0,0,0,0.5,48,48
Martinique,2020,15,-61,0,0,0,0,1,52,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,2020,21,-11,0,0,0,0,40,15,3,0,0,0,0,22,4,0.5,0,0,0,0,55,24,5
Mauritius,2020,-20,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,47,4,49
Mayotte,2020,-13,45,0,0,0,0,7,35,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,2020,24,-10,57,5,3,50,2,16,81,0,0,0,22,11,47,38,60,2,1,56,0.5,8,91
Monaco,2020,44,7,100,0.5,0.5,100,0.5,0,100,0,0,0,0,0,0,0,100,0.5,0.5,100,0.5,0,100
Mongolia,2020,47,10,56,46,0.5,10,64,0.5,25,49,47,0.5,2,66,0.5,4,59,45,0.5,13,63,0.5,34
Montenegro,2020,43,19,45,20,2,24,0.5,52,45,39,30,0.5,9,2,75,17,49,15,3,31,0.5,42,58
Montserrat,2020,17,-62,0,0,0,0,0.5,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,2020,32,-7,39,10,4,24,12,18,59,0,0,0,0.5,28,39,6,41,3,1,37,3,6,89
