Negara,Tahun,latitude,longitude,Safely managed-National,Disposed in situ-National,Emptied and treated-National,Wastewater treated-National,Latrines and other-National,Septic tanks-National,Sewer connections-National,Safely managed-Rural,Disposed in situ-Rural,Emptied and treated-Rural,Wastewater treated-Rural,Latrines and other-Rural,Septic tanks-Rural,Sewer connections-Rural,Safely managed-Urban,Disposed in situ-Urban,Emptied and treated-Urban,Wastewater treated-Urban,Latrines and other-Urban,Septic tanks-Urban,Sewer connections-Urban
Cuba,2020      ,21.521757,-77.781167,37,19,0.5,16,16,16,61,51.00,44.00,0.50,7.00,37.00,22.00,27.00,32.00,12.00,1.00,19.00,10.00,14.00,71.00
Cyprus,2020      ,35.126413,33.429859,77,11,11,55,0.5,45,55,0.00,0.00,0.00,18.00,0.50,81.00,18.00,86.00,7.00,7.00,73.00,0.50,27.00,73.00
Czech Republic,2020      ,49.817492,15.472962,85,0.5,0.5,85,0.5,14,86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Democratic People's Republic of Korea,2020      ,40.339852,127.510093,0,0.5,0,0,32,11,42,1.00,0.50,0.50,0.50,55.00,17.00,2.00,0.00,1.00,0.00,0.00,19.00,7.00,67.00
Democratic Republic of the Congo,2020      ,-0.228021,15.827659,13,13,0.5,0.5,26,9,0.5,11.00,11.00,0.50,0.50,20.00,0.50,0.50,15.00,14.00,0.50,0.50,33.00,20.00,0.50
Denmark,2020      ,56.26392,9.501785,92,0.5,0.5,92,0.5,8,92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Djibouti,2020      ,11.825138,42.590275,37,35,0.5,2,57,11,5,21.00,21.00,0.50,0.50,24.00,0.50,0.50,42.00,39.00,0.50,3.00,67.00,15.00,7.00
Dominican Republic,2020      ,18.735693,-70.162651,0,0,0,0,11,69,16,0.00,0.00,0.00,0.00,31.00,57.00,3.00,0.00,0.00,0.00,0.00,7.00,71.00,19.00
Ecuador,2020      ,-1.831239,-78.183406,42,25,0.5,17,5,27,67,60.00,53.00,0.50,7.00,14.00,54.00,28.00,31.00,9.00,0.50,22.00,0.50,12.00,88.00
Egypt,2020      ,26.820553,30.802498,67,7,5,55,3,21,74,63.00,12.00,9.00,42.00,6.00,37.00,55.00,73.00,0.50,0.50,73.00,0.50,0.50,100.00
El Salvador,2020      ,13.794185,-88.89653,0,0,0,2,36,20,43,0.00,0.00,0.00,0.50,74.00,23.00,0.50,17.00,14.00,0.50,2.00,23.00,19.00,58.00
Estonia,2020      ,58.595272,25.013607,93,5,5,84,10,4,86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eswatini,2020      ,-,-,0,0,0,3,69,7,10,0.00,0.00,0.00,1.00,78.00,3.00,3.00,0.00,0.00,0.00,9.00,42.00,21.00,30.00
Ethiopia,2020      ,9.145,40.489673,7,6,0.5,0.5,14,2,0.5,4.00,4.00,0.50,0.50,8.00,0.50,0.50,16.00,15.00,0.50,0.50,40.00,10.00,3.00
Falkland Islands (Malvinas),2020      ,-51.796253,-59.523613,0,0,0,0,0.5,0,100,0.00,0.00,0.00,0.00,0.50,0.00,100.00,0.00,0.00,0.00,0.00,0.50,0.00,100.00
Fiji,2020      ,-16.578193,179.414413,0,0,0,0,16,63,21,0.00,0.00,0.00,0.00,31.00,68.00,1.00,0.00,0.00,0.00,0.00,6.00,59.00,35.00
Finland,2020      ,61.92411,25.748151,84,0.5,0.5,84,0.5,15,85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
France,2020      ,46.227638,2.213749,79,0.5,0.5,79,0.5,18,82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
French Guiana,2020      ,3.933889,-53.125782,0,0,0,0,8,38,46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
French Polynesia,2020      ,-17.679742,-149.406843,0,0,0,0,0.5,78,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gabon,2020      ,-0.803689,11.609444,0,0,0,0,45,0,34,0.00,0.00,0.00,0.00,46.00,0.00,9.00,0.00,0.00,0.00,0.00,45.00,0.00,37.00
Gambia,2020      ,13.443182,-15.310139,29,28,0.5,0.5,36,23,2,24.00,24.00,0.50,0.50,32.00,2.00,0.50,32.00,31.00,0.50,1.00,38.00,35.00,3.00
Georgia,2020      ,42.315407,43.356892,34,17,0.5,17,24,2,61,44.00,42.00,0.50,2.00,60.00,4.00,8.00,28.00,0.50,0.50,28.00,0.50,0.50,96.00
Germany,2020      ,51.165691,10.451526,97,1,1,95,0.5,3,96,92.00,5.00,5.00,82.00,3.00,14.00,83.00,99.00,0.50,0.50,99.00,0.50,0.50,100.00
Ghana,2020      ,7.946527,-1.023194,13,13,0.5,0.5,48,20,3,15.00,15.00,0.50,0.50,49.00,3.00,0.50,12.00,11.00,0.50,0.50,48.00,32.00,5.00
Gibraltar,2020      ,36.137741,-5.345374,0,0,0,0,0.5,0,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,100.00
Greece,2020      ,39.074208,21.824312,92,4,4,85,0.5,15,85,0.00,0.00,0.00,42.00,0.50,57.00,43.00,97.00,0.50,0.50,95.00,0.50,4.00,96.00
